code_type	code_group	code	term	census_16_group_2001	census_6_group_2001
medcode	demo_ethnicity	1968521000006118	Asian or Asian Scottish or Asian British: any other Asian group - Scotland ethnic category 2011 census	11	3
medcode	demo_ethnicity	1968481000006118	"Asian or Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British - Scotland ethnic category 2011 census"	9	3
medcode	demo_ethnicity	1968271000006115	Mixed multiple ethnic groups: White and Black African - Northern Ireland ethnic category 2011 census	5	2
medcode	demo_ethnicity	2615531000000117	Hungarian Roma	3	1
medcode	demo_ethnicity	4740401000006118	"Other ethnic, other mixed origin"	7	2
medcode	demo_ethnicity	250243013	Race: West indian	12	4
medcode	demo_ethnicity	1968591000006116	Other ethnic group: any other ethnic group - Scotland ethnic category 2011 census	16	5
medcode	demo_ethnicity	1968391000006113	Other ethnic group: any other ethnic group - Northern Ireland ethnic category 2011 census	16	5
medcode	demo_ethnicity	1968371000006112	Black or African or Caribbean or Black British: other Black or African or Caribbean background - Northern Ireland ethnic category 2011 census	14	4
medcode	demo_ethnicity	1968321000006111	Asian or Asian British: Bangladeshi - Northern Ireland ethnic category 2011 census	10	3
medcode	demo_ethnicity	411583012	East African Asian (NMO)	11	3
medcode	demo_ethnicity	411574019	Black Arab	14	4
medcode	demo_ethnicity	501416013	Fijian	16	5
medcode	demo_ethnicity	1968571000006117	Caribbean or Black: any other Black or Caribbean group - Scotland ethnic category 2011 census	14	4
medcode	demo_ethnicity	1968561000006112	"Caribbean or Black: Black, Black Scottish or Black British - Scotland ethnic category 2011 census"	14	4
medcode	demo_ethnicity	1968501000006111	"Asian or Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Bangladeshi British - Scotland ethnic category 2011 census"	10	3
medcode	demo_ethnicity	2487281000000112	White: Scottish - Scotland ethnic category 2011 census	1	1
medcode	demo_ethnicity	1968291000006119	Mixed multiple ethnic groups: any other Mixed or multiple ethnic background - Northern Ireland ethnic category 2011 census	7	2
medcode	demo_ethnicity	411576017	Black East African Asian	14	4
medcode	demo_ethnicity	4740381000006118	"Other ethnic, mixed white origin"	7	2
medcode	demo_ethnicity	1968581000006119	"Other ethnic group: Arab, Arab Scottish or Arab British - Scotland ethnic category 2011 census"	16	5
medcode	demo_ethnicity	1968551000006110	"Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British - Scotland ethnic category 2011 census"	14	4
medcode	demo_ethnicity	1968381000006110	Other ethnic group: Arab - Northern Ireland ethnic category 2011 census	16	5
medcode	demo_ethnicity	1968361000006117	Black or African or Caribbean or Black British: Caribbean - Northern Ireland ethnic category 2011 census	12	4
medcode	demo_ethnicity	1968331000006114	Asian or Asian British: Chinese - Northern Ireland ethnic category 2011 census	15	5
medcode	demo_ethnicity	2615611000000112	Romanian Roma	3	1
medcode	demo_ethnicity	196611000006111	Afro-Caucasian	5	2
medcode	demo_ethnicity	453110019	Black Guyana	12	4
medcode	demo_ethnicity	411578016	Caribbean Island (NMO)	12	4
medcode	demo_ethnicity	286022019	New Zealand ethnic group NOS	16	5
medcode	demo_ethnicity	1968471000006116	Mixed or multiple ethnic groups: any Mixed or multiple ethnic group - Scotland ethnic category 2011 census	7	2
medcode	demo_ethnicity	142691000000116	Ulster Scots - ethnic category 2001 census	3	1
medcode	demo_ethnicity	2645811000000115	Roma ethnic group	3	1
medcode	demo_ethnicity	459731017	Black	14	4
medcode	demo_ethnicity	411579012	West Indian (NMO)	12	4
medcode	demo_ethnicity	411575018	Black Iranian	14	4
medcode	demo_ethnicity	4740341000006112	"Other ethnic, Black/White origin"	4	2
medcode	demo_ethnicity	1968511000006114	Asian or Asian Scottish or Asian British: Chinese - Scotland ethnic category 2011 census	15	5
medcode	demo_ethnicity	411580010	Guyana (NMO)	12	4
medcode	demo_ethnicity	411577014	Black Indo-Caribbean	14	4
medcode	demo_ethnicity	2487361000000112	White: Irish - Scotland ethnic category 2011 census	2	1
medcode	demo_ethnicity	2615571000000115	Polish Roma	3	1
medcode	demo_ethnicity	411584018	Indo-Caribbean (NMO)	11	3
medcode	demo_ethnicity	286012013	New Zealand Maori	16	5
medcode	demo_ethnicity	2912851000006114	English	1	1
medcode	demo_ethnicity	4740241000006117	British ethnic minority specified (NMO)	16	5
medcode	demo_ethnicity	2615691000000115	Bulgarian Roma	3	1
medcode	demo_ethnicity	286021014	Other New Zealand ethnic group	16	5
medcode	demo_ethnicity	4740261000006118	British ethnic minority unspecified (NMO)	16	5
medcode	demo_ethnicity	6853091000006117	European	3	1
medcode	demo_ethnicity	286009010	Other European in New Zealand	16	5
medcode	demo_ethnicity	507015012	Samoan	16	5
medcode	demo_ethnicity	1968441000006112	White: Gypsy or Irish Traveller - Scotland ethnic category 2011 census	3	1
medcode	demo_ethnicity	1968251000006113	Irish Traveller - Northern Ireland ethnic category 2011 census	3	1
medcode	demo_ethnicity	2615461000000111	Czech Roma	3	1
medcode	demo_ethnicity	7779801000006116	Roma	3	1
medcode	demo_ethnicity	286008019	Pakeha	3	1
medcode	demo_ethnicity	504723011	Tongan	16	5
medcode	demo_ethnicity	2958771000006116	Poles	3	1
medcode	demo_ethnicity	3637821000006117	Irani	16	5
medcode	demo_ethnicity	286013015	Cook Island Maori	16	5
medcode	demo_ethnicity	2944331000006113	Iraqi	16	5
medcode	demo_ethnicity	2737641000006113	Welsh	1	1
medcode	demo_ethnicity	14500771000006113	New Zealand Maori	16	5
medcode	demo_ethnicity	7953251000006110	Ukrainian	3	1
medcode	demo_ethnicity	3009521000006110	Italians	3	1
medcode	demo_ethnicity	2722611000006114	Caucasian	3	1
medcode	demo_ethnicity	7590171000006117	Punjabi	11	3
medcode	demo_ethnicity	286015010	Tokelauan	16	5
medcode	demo_ethnicity	286014014	Niuean	16	5
medcode	demo_ethnicity	3748491000006113	Filipinos	11	3
medcode	demo_ethnicity	3244711000006110	Somalis	13	4
medcode	demo_ethnicity	2849971000006118	Indonesians	11	3
medcode	demo_ethnicity	2521561000006117	Greeks	3	1
medcode	demo_ethnicity	3885061000006111	Russians	3	1
medcode	demo_ethnicity	3761031000006117	Atacamenos	16	5
medcode	demo_ethnicity	3676561000006114	Brazilian Indians	16	5
medcode	demo_ethnicity	3614451000006110	Austrians	3	1
medcode	demo_ethnicity	3552211000006118	Hungarian	3	1
medcode	demo_ethnicity	3548651000006118	Indians (Hindi-speaking)	8	3
medcode	demo_ethnicity	2956271000006111	Spaniards	3	1
medcode	demo_ethnicity	2622351000006111	Germans	3	1
medcode	demo_ethnicity	2559861000006115	Senegalese	13	4
